Epoch,Train_loss,Train_acc,Val_loss,Val_acc,Lr,Batch_Size,Device
1,3.8143,0.141,2.2436,0.1929,0.1,64,cuda
2,2.1683,0.1943,2.2677,0.2143,0.1,64,cuda
3,2.1275,0.2132,2.2505,0.2174,0.1,64,cuda
4,2.0908,0.2356,2.1511,0.2619,0.1,64,cuda
5,2.038,0.2762,2.1815,0.2215,0.1,64,cuda
6,1.9805,0.2988,2.0533,0.2809,0.1,64,cuda
7,1.9299,0.3255,1.8706,0.3672,0.1,64,cuda
8,1.9057,0.3333,1.8326,0.3692,0.1,64,cuda
9,1.8587,0.3554,1.844,0.3587,0.1,64,cuda
10,1.7845,0.3884,1.7146,0.4144,0.1,64,cuda
11,1.7062,0.4199,1.5991,0.4613,0.1,64,cuda
12,1.6486,0.4373,1.7324,0.4307,0.1,64,cuda
13,1.5782,0.4617,1.439,0.5319,0.1,64,cuda
14,1.5056,0.4948,1.3796,0.5486,0.1,64,cuda
15,1.4559,0.5131,1.2672,0.5927,0.1,64,cuda
16,1.4144,0.5284,1.2558,0.5985,0.1,64,cuda
17,1.3671,0.5477,1.236,0.6002,0.1,64,cuda
18,1.3147,0.5702,1.3006,0.5822,0.1,64,cuda
19,1.2881,0.5762,1.2663,0.607,0.1,64,cuda
20,1.2425,0.588,1.1013,0.6501,0.1,64,cuda
21,1.2083,0.598,1.1007,0.6525,0.1,64,cuda
22,1.1788,0.6117,1.1751,0.6107,0.1,64,cuda
23,1.1471,0.6275,0.9872,0.6844,0.1,64,cuda
24,1.0901,0.6424,0.9587,0.6807,0.1,64,cuda
25,1.0924,0.6458,0.9162,0.7154,0.1,64,cuda
26,1.0466,0.6562,0.9596,0.6844,0.1,64,cuda
27,1.0209,0.6652,0.9608,0.6929,0.1,64,cuda
28,1.0146,0.6658,0.9389,0.6919,0.1,64,cuda
29,1.0032,0.6757,0.8412,0.733,0.1,64,cuda
30,0.9812,0.6815,0.9169,0.6997,0.1,64,cuda
31,0.9839,0.6809,0.7967,0.7442,0.1,64,cuda
32,0.9682,0.6847,0.8011,0.7398,0.1,64,cuda
33,0.9503,0.6933,0.8022,0.7446,0.1,64,cuda
34,0.926,0.6946,0.8813,0.7177,0.1,64,cuda
35,0.9217,0.7019,0.868,0.7181,0.1,64,cuda
36,0.9238,0.6955,0.8399,0.7306,0.1,64,cuda
37,0.8932,0.7114,0.8095,0.7354,0.1,64,cuda
38,0.8795,0.7142,0.7652,0.748,0.1,64,cuda
39,0.8781,0.7123,0.7111,0.767,0.1,64,cuda
40,0.8677,0.7156,0.7242,0.766,0.1,64,cuda
41,0.848,0.7288,0.7145,0.7643,0.1,64,cuda
42,0.8483,0.723,0.7805,0.748,0.1,64,cuda
43,0.8203,0.727,0.7437,0.7527,0.1,64,cuda
44,0.8274,0.7348,0.7812,0.7493,0.1,64,cuda
45,0.8153,0.7328,0.6856,0.7782,0.1,64,cuda
46,0.7977,0.7413,0.7178,0.7745,0.1,64,cuda
47,0.7926,0.7405,0.7206,0.77,0.1,64,cuda
48,0.7888,0.7408,0.8609,0.7238,0.1,64,cuda
49,0.7921,0.7423,0.6536,0.7908,0.1,64,cuda
50,0.7826,0.7481,0.6842,0.7707,0.1,64,cuda
51,0.7687,0.7507,0.6308,0.801,0.1,64,cuda
