Epoch,Train_loss,Train_acc,Val_loss,Val_acc,Lr,Batch_Size,Device
88,0.2588,0.9197,0.4339,0.8787,0.001,32,cuda
89,0.2643,0.918,0.4304,0.875,0.001,32,cuda
90,0.2642,0.9168,0.4495,0.8753,0.001,32,cuda
91,0.2453,0.9238,0.4377,0.8825,0.001,32,cuda
92,0.2372,0.9236,0.4428,0.8781,0.001,32,cuda
93,0.2436,0.9219,0.4303,0.8781,0.001,32,cuda
94,0.2431,0.924,0.4233,0.8781,0.001,32,cuda
95,0.2367,0.9243,0.4271,0.8815,0.001,32,cuda
96,0.238,0.927,0.4367,0.8757,0.001,32,cuda
97,0.2295,0.9291,0.4377,0.8774,0.001,32,cuda
98,0.224,0.9277,0.4349,0.8804,0.001,32,cuda
99,0.2325,0.9265,0.4293,0.8784,0.001,32,cuda
100,0.2328,0.9268,0.4389,0.8781,0.001,32,cuda
101,0.2432,0.923,0.4326,0.8794,0.001,32,cuda
102,0.2204,0.9342,0.4519,0.8716,0.001,32,cuda
103,0.2236,0.932,0.4334,0.8787,0.001,32,cuda
104,0.2256,0.9268,0.4408,0.8811,0.001,32,cuda
105,0.2206,0.9329,0.432,0.8753,0.001,32,cuda
106,0.2074,0.9354,0.4379,0.877,0.0001,32,cuda
107,0.2021,0.9361,0.439,0.877,0.0001,32,cuda
108,0.2032,0.9353,0.4416,0.8777,0.0001,32,cuda
109,0.1939,0.9406,0.4406,0.877,0.0001,32,cuda
110,0.2154,0.9339,0.4422,0.8781,0.0001,32,cuda
111,0.2189,0.933,0.439,0.8798,0.0001,32,cuda
112,0.2162,0.9323,0.4403,0.8787,0.0001,32,cuda
113,0.2076,0.9337,0.4408,0.8791,0.0001,32,cuda
114,0.2131,0.9352,0.4414,0.8791,0.0001,32,cuda
115,0.2001,0.9373,0.4401,0.8798,0.0001,32,cuda
116,0.2087,0.9354,0.4375,0.8794,0.0001,32,cuda
117,0.2111,0.9341,0.4373,0.8784,1e-05,32,cuda
118,0.2023,0.9372,0.4373,0.8787,1e-05,32,cuda
119,0.2151,0.933,0.4371,0.8784,1e-05,32,cuda
120,0.2061,0.9356,0.4371,0.8787,1e-05,32,cuda
121,0.2109,0.9352,0.4374,0.8787,1e-05,32,cuda
122,0.2053,0.9344,0.4373,0.8794,1e-05,32,cuda
123,0.2078,0.9321,0.4376,0.8804,1e-05,32,cuda
124,0.2171,0.9325,0.4377,0.8808,1e-05,32,cuda
125,0.2106,0.9339,0.4381,0.8801,1e-05,32,cuda
126,0.201,0.9377,0.4384,0.8801,1e-05,32,cuda
127,0.2111,0.9316,0.4384,0.8798,1e-05,32,cuda
128,0.2185,0.9326,0.4384,0.8798,1.0000000000000002e-06,32,cuda
129,0.2075,0.9372,0.4385,0.8798,1.0000000000000002e-06,32,cuda
130,0.199,0.9375,0.4385,0.8798,1.0000000000000002e-06,32,cuda
131,0.2126,0.934,0.4385,0.8798,1.0000000000000002e-06,32,cuda
132,0.2017,0.9371,0.4385,0.8798,1.0000000000000002e-06,32,cuda
133,0.2196,0.9327,0.4384,0.8801,1.0000000000000002e-06,32,cuda
134,0.206,0.9387,0.4384,0.8798,1.0000000000000002e-06,32,cuda
135,0.2121,0.9335,0.4385,0.8801,1.0000000000000002e-06,32,cuda
136,0.2127,0.9348,0.4384,0.8801,1.0000000000000002e-06,32,cuda
137,0.2051,0.9339,0.4384,0.8801,1.0000000000000002e-06,32,cuda
138,0.2123,0.9338,0.4384,0.8804,1.0000000000000002e-06,32,cuda
139,0.2142,0.9337,0.4384,0.8804,1.0000000000000002e-07,32,cuda
140,0.2009,0.9389,0.4384,0.8804,1.0000000000000002e-07,32,cuda
141,0.2192,0.9325,0.4384,0.8804,1.0000000000000002e-07,32,cuda
142,0.2149,0.9341,0.4384,0.8804,1.0000000000000002e-07,32,cuda
143,0.2131,0.9318,0.4384,0.8804,1.0000000000000002e-07,32,cuda
144,0.2066,0.9343,0.4384,0.8804,1.0000000000000002e-07,32,cuda
145,0.2035,0.9363,0.4384,0.8804,1.0000000000000002e-07,32,cuda
146,0.202,0.9374,0.4384,0.8804,1.0000000000000002e-07,32,cuda
147,0.2051,0.9374,0.4384,0.8804,1.0000000000000002e-07,32,cuda
148,0.2108,0.9336,0.4384,0.8804,1.0000000000000002e-07,32,cuda
149,0.2158,0.9325,0.4384,0.8804,1.0000000000000002e-07,32,cuda
150,0.2102,0.9351,0.4384,0.8804,1.0000000000000004e-08,32,cuda
