Epoch,Train_loss,Train_acc,Val_loss,Val_acc,Lr,Batch_Size,Device
1,2.3878,0.1838,2.1304,0.2412,0.1,16,cuda
2,2.0194,0.2888,1.855,0.3556,0.1,16,cuda
3,1.8494,0.3618,1.6721,0.4545,0.1,16,cuda
4,1.6672,0.4405,1.4872,0.5204,0.1,16,cuda
5,1.5307,0.4916,1.2217,0.609,0.1,16,cuda
6,1.4019,0.5345,1.1626,0.6291,0.1,16,cuda
7,1.2855,0.5802,1.0282,0.6729,0.1,16,cuda
8,1.2315,0.5938,0.9548,0.6936,0.1,16,cuda
9,1.1568,0.6216,0.8969,0.7252,0.1,16,cuda
10,1.0962,0.6482,0.8928,0.7167,0.1,16,cuda
11,1.0453,0.664,0.9266,0.6936,0.1,16,cuda
12,1.0241,0.6682,0.9005,0.7004,0.1,16,cuda
13,0.9616,0.6859,0.9109,0.7072,0.1,16,cuda
14,0.9371,0.6934,0.7006,0.7894,0.1,16,cuda
15,0.9063,0.706,0.7497,0.7619,0.1,16,cuda
16,0.8928,0.7093,0.8969,0.714,0.1,16,cuda
17,0.856,0.7233,0.8108,0.7391,0.1,16,cuda
18,0.8344,0.7255,0.7429,0.7565,0.1,16,cuda
19,0.8332,0.7273,0.6317,0.7928,0.1,16,cuda
20,0.8065,0.7359,0.7706,0.7527,0.1,16,cuda
21,0.792,0.7471,0.6553,0.7931,0.1,16,cuda
22,0.7922,0.7433,0.5932,0.8013,0.1,16,cuda
23,0.77,0.7516,0.8987,0.7137,0.1,16,cuda
24,0.7439,0.7577,0.6331,0.7959,0.1,16,cuda
25,0.7254,0.7676,0.8643,0.7388,0.1,16,cuda
26,0.7142,0.768,0.5639,0.822,0.1,16,cuda
27,0.7143,0.7706,0.9697,0.699,0.1,16,cuda
28,0.7047,0.7696,0.5942,0.819,0.1,16,cuda
29,0.6894,0.7783,0.5034,0.837,0.1,16,cuda
30,0.6721,0.7785,0.5028,0.839,0.1,16,cuda
31,0.6662,0.7772,0.6374,0.7979,0.1,16,cuda
32,0.6615,0.7813,0.5734,0.8162,0.1,16,cuda
33,0.6508,0.7901,0.6139,0.8074,0.1,16,cuda
34,0.6434,0.7941,0.5102,0.8332,0.1,16,cuda
35,0.6447,0.7894,0.5733,0.8207,0.1,16,cuda
36,0.6287,0.7999,0.5396,0.8342,0.1,16,cuda
37,0.6181,0.8026,0.539,0.8264,0.1,16,cuda
38,0.6313,0.7909,0.527,0.8319,0.1,16,cuda
39,0.6217,0.7972,0.4886,0.8417,0.1,16,cuda
40,0.6119,0.8043,0.6365,0.806,0.1,16,cuda
41,0.6041,0.8,0.557,0.8183,0.1,16,cuda
42,0.5915,0.8053,0.5946,0.8186,0.1,16,cuda
43,0.5838,0.8108,0.5065,0.8295,0.1,16,cuda
44,0.5964,0.804,0.5189,0.8373,0.1,16,cuda
45,0.5727,0.8182,0.5419,0.8237,0.1,16,cuda
46,0.5802,0.8111,0.4386,0.8587,0.1,16,cuda
47,0.5615,0.8152,0.5328,0.8315,0.1,16,cuda
48,0.5548,0.8203,0.4393,0.8488,0.1,16,cuda
49,0.5513,0.8224,0.5496,0.8285,0.1,16,cuda
50,0.5563,0.8194,0.4976,0.84,0.1,16,cuda
51,0.5458,0.8237,0.5116,0.8383,0.1,16,cuda
52,0.5381,0.8261,0.4555,0.8502,0.1,16,cuda
53,0.5339,0.8285,0.5364,0.8431,0.1,16,cuda
54,0.5357,0.8266,0.4451,0.8577,0.1,16,cuda
55,0.5313,0.8316,0.4549,0.8546,0.1,16,cuda
56,0.5382,0.8281,0.4722,0.8512,0.1,16,cuda
57,0.5277,0.832,0.4859,0.8431,0.1,16,cuda
58,0.399,0.8701,0.3209,0.8933,0.010000000000000002,16,cuda
59,0.354,0.8846,0.3263,0.895,0.010000000000000002,16,cuda
60,0.3335,0.8908,0.3102,0.8995,0.010000000000000002,16,cuda
61,0.3196,0.895,0.2987,0.9022,0.010000000000000002,16,cuda
62,0.3111,0.8979,0.2989,0.8974,0.010000000000000002,16,cuda
63,0.3162,0.8983,0.2925,0.9022,0.010000000000000002,16,cuda
64,0.2953,0.9021,0.2991,0.8991,0.010000000000000002,16,cuda
65,0.3017,0.8997,0.3001,0.9035,0.010000000000000002,16,cuda
66,0.2945,0.9071,0.2914,0.9025,0.010000000000000002,16,cuda
67,0.2664,0.9154,0.291,0.9056,0.010000000000000002,16,cuda
68,0.286,0.91,0.2964,0.9015,0.010000000000000002,16,cuda
69,0.2765,0.9128,0.3071,0.9005,0.010000000000000002,16,cuda
70,0.2581,0.9186,0.3035,0.9022,0.010000000000000002,16,cuda
71,0.2625,0.9168,0.3012,0.9012,0.010000000000000002,16,cuda
72,0.271,0.9117,0.2839,0.91,0.010000000000000002,16,cuda
73,0.263,0.9128,0.2986,0.9042,0.010000000000000002,16,cuda
74,0.2528,0.9199,0.2913,0.9039,0.010000000000000002,16,cuda
75,0.2569,0.915,0.2871,0.9066,0.010000000000000002,16,cuda
76,0.2598,0.918,0.2919,0.9025,0.010000000000000002,16,cuda
77,0.2412,0.9222,0.2962,0.9046,0.010000000000000002,16,cuda
78,0.2455,0.921,0.2838,0.9103,0.010000000000000002,16,cuda
79,0.254,0.9189,0.2945,0.9039,0.010000000000000002,16,cuda
80,0.2442,0.9204,0.286,0.9107,0.010000000000000002,16,cuda
81,0.2406,0.924,0.2941,0.9046,0.010000000000000002,16,cuda
82,0.23,0.9257,0.2894,0.9035,0.010000000000000002,16,cuda
83,0.2433,0.9234,0.3018,0.8995,0.010000000000000002,16,cuda
84,0.2453,0.9232,0.2999,0.9022,0.010000000000000002,16,cuda
85,0.2394,0.921,0.2967,0.9032,0.010000000000000002,16,cuda
86,0.2293,0.9306,0.3037,0.9066,0.010000000000000002,16,cuda
87,0.229,0.9276,0.2896,0.9059,0.010000000000000002,16,cuda
88,0.2459,0.9213,0.2846,0.9066,0.010000000000000002,16,cuda
89,0.228,0.9266,0.2932,0.9076,0.010000000000000002,16,cuda
90,0.2123,0.9342,0.2775,0.9124,0.0010000000000000002,16,cuda
91,0.2038,0.9339,0.2768,0.912,0.0010000000000000002,16,cuda
92,0.1918,0.9396,0.279,0.9127,0.0010000000000000002,16,cuda
93,0.1957,0.939,0.2654,0.9158,0.0010000000000000002,16,cuda
94,0.1945,0.9382,0.2775,0.9113,0.0010000000000000002,16,cuda
95,0.1957,0.9403,0.2665,0.9134,0.0010000000000000002,16,cuda
96,0.1984,0.936,0.2726,0.9107,0.0010000000000000002,16,cuda
97,0.1953,0.9394,0.2778,0.9103,0.0010000000000000002,16,cuda
